,,,,,,Total,,,,,,,,,,En %,,,,,,,,,
,Syndique (1) ou syndic (0),muni_total,muni_hommes,muni_femmes,Sièges vacants,Total,Hommes,Femmes,Total,Population suisse,Population étrangère,Total,0-19 ans,20-64 ans,65+ ans,Total,Hommes,Femmes,Total,Population suisse,Population étrangère,Total,0-19 ans,20-64 ans,65+ ans
Total,,,,,,794384,389932,404452,794384,527260,267124,794384,175173,489395,129816,100,49.09,50.91,100,66.37,33.63,100,22.05,61.61,16.34
5401 Aigle,0,5,3,2,,10153,4966,5187,10153,6055,4098,10153,2311,6119,1723,100,48.91,51.09,100,59.64,40.36,100,22.76,60.27,16.97
5402 Bex,0,7,6,1,,7719,3810,3909,7719,5186,2533,7719,1790,4559,1370,100,49.36,50.64,100,67.18,32.82,100,23.19,59.06,17.75
5403 Chessel,0,5,4,1,,403,214,189,403,338,65,403,92,251,60,100,53.1,46.9,100,83.87,16.13,100,22.83,62.28,14.89
5404 Corbeyrier,0,5,3,2,,437,227,210,437,400,37,437,83,222,132,100,51.95,48.05,100,91.53,8.47,100,18.99,50.8,30.21
5405 Gryon,0,5,5,0,,1364,720,644,1364,933,431,1364,275,813,276,100,52.79,47.21,100,68.4,31.6,100,20.16,59.6,20.23
5406 Lavey-Morcles,0,5,4,1,,926,456,470,926,759,167,926,194,567,165,100,49.24,50.76,100,81.97,18.03,100,20.95,61.23,17.82
5407 Leysin,0,5,5,0,,4023,1958,2065,4023,1705,2318,4023,971,2537,515,100,48.67,51.33,100,42.38,57.62,100,24.14,63.06,12.8
5408 Noville,0,5,4,1,,1055,526,529,1055,787,268,1055,262,654,139,100,49.86,50.14,100,74.6,25.4,100,24.83,61.99,13.18
5409 Ollon,0,7,6,1,,7494,3693,3801,7494,4896,2598,7494,1991,4153,1350,100,49.28,50.72,100,65.33,34.67,100,26.57,55.42,18.01
5410 Ormont-Dessous,1,5,4,1,,1117,559,558,1117,944,173,1117,194,686,237,100,50.04,49.96,100,84.51,15.49,100,17.37,61.41,21.22
5411 Ormont-Dessus,0,5,3,2,,1467,730,737,1467,1104,363,1467,241,829,397,100,49.76,50.24,100,75.26,24.74,100,16.43,56.51,27.06
5412 Rennaz,0,5,4,1,,839,428,411,839,595,244,839,197,529,113,100,51.01,48.99,100,70.92,29.08,100,23.48,63.05,13.47
5413 Roche,0,5,5,0,,1650,788,862,1650,1127,523,1650,432,997,221,100,47.76,52.24,100,68.3,31.7,100,26.18,60.42,13.39
5414 Villeneuve,1,5,3,2,,5672,2794,2878,5672,3404,2268,5672,1262,3450,960,100,49.26,50.74,100,60.01,39.99,100,22.25,60.83,16.93
5415 Yvorne,0,7,5,2,,1057,515,542,1057,871,186,1057,211,662,184,100,48.72,51.28,100,82.4,17.6,100,19.96,62.63,17.41
5421 Apples,1,5,4,1,,1437,674,763,1437,1196,241,1437,346,802,289,100,46.9,53.1,100,83.23,16.77,100,24.08,55.81,20.11
5422 Aubonne,0,5,4,1,,3269,1633,1636,3269,2236,1033,3269,744,2012,513,100,49.95,50.05,100,68.4,31.6,100,22.76,61.55,15.69
5423 Ballens,0,5,4,1,,527,276,251,527,411,116,527,125,309,93,100,52.37,47.63,100,77.99,22.01,100,23.72,58.63,17.65
